test_name,file,line,rule_id,cwe,severity,message,tool
BenchmarkTest00008,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00008.java,57,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00011,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00011.java,54,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00012,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00012.java,68,java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request,CWE-90,warning,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",semgrep
BenchmarkTest00013,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00013.java,56,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00014,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00014.java,56,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00015,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java,64,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,CWE-78,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",semgrep
BenchmarkTest00015,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java,68,java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,CWE-78,error,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,semgrep
BenchmarkTest00017,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java,63,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,CWE-78,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",semgrep
BenchmarkTest00018,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,57,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00018,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,59,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,semgrep
BenchmarkTest00019,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,54,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00019,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,54,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00020,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,61,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00020,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,61,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00021,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00021.java,58,java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request,CWE-90,warning,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",semgrep
BenchmarkTest00023,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,47,java.lang.security.audit.crypto.weak-random.weak-random,CWE-330,warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",semgrep
BenchmarkTest00024,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,52,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00025,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,51,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00025,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,54,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00026,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00026.java,49,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00027,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,50,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00027,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,52,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,semgrep
BenchmarkTest00028,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,57,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00028,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,70,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00030,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00030.java,53,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00031,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java,52,java.lang.security.audit.tainted-session-from-http-request.tainted-session-from-http-request,CWE-501,warning,"Detected input from a HTTPServletRequest going into a session command, like `setAttribute`. User input into such a command could lead to an attacker inputting malicious code into your session parameters, blurring the line between what's trusted and untrusted, and therefore leading to a trust boundary violation. This could lead to programmers trusting unvalidated data. Instead, thoroughly sanitize user input before passing it into such function calls.",semgrep
BenchmarkTest00031,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java,54,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00032,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00032.java,54,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00033,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00033.java,53,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00034,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,56,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,semgrep
BenchmarkTest00034,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,56,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00035,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,69,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00035,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,69,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00036,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00036.java,65,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00037,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java,66,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00038,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00038.java,63,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00039,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00039.java,64,java.lang.security.audit.sqli.tainted-sql-from-http-request.tainted-sql-from-http-request,CWE-89,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,semgrep
BenchmarkTest00040,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00040.java,49,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00043,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,54,java.lang.security.audit.sqli.jdbc-sqli.jdbc-sqli,CWE-89,warning,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,semgrep
BenchmarkTest00044,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00044.java,59,java.lang.security.audit.tainted-ldapi-from-http-request.tainted-ldapi-from-http-request,CWE-90,warning,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",semgrep
BenchmarkTest00045,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00045.java,61,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00046,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00046.java,50,java.lang.security.audit.crypto.use-of-md5.use-of-md5,CWE-328,warning,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.,semgrep
BenchmarkTest00047,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00047.java,73,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00048,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00048.java,72,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00049,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00049.java,72,java.lang.security.audit.xss.no-direct-response-writer.no-direct-response-writer,CWE-79,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",semgrep
BenchmarkTest00050,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,62,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00050,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,62,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00051,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00051.java,60,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,CWE-78,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",semgrep
BenchmarkTest00051,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00051.java,60,java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,CWE-78,error,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,semgrep
BenchmarkTest00051,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00051.java,63,java.lang.security.audit.tainted-cmd-from-http-request.tainted-cmd-from-http-request,CWE-78,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",semgrep
BenchmarkTest00053,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,89,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00053,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,89,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00055,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,82,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00055,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,82,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00056,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,92,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00056,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,92,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00057,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java,84,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00057,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java,87,java.lang.security.audit.crypto.desede-is-deprecated.desede-is-deprecated,CWE-326,warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,semgrep
BenchmarkTest00057,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java,87,java.lang.security.audit.crypto.des-is-deprecated.des-is-deprecated,CWE-326,warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,semgrep
BenchmarkTest00060,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java,75,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00061,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java,75,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
BenchmarkTest00063,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java,78,java.lang.security.httpservlet-path-traversal.httpservlet-path-traversal,CWE-22,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",semgrep
