test_name,real_vulnerability,cwe,num_tools_agreeing,flagged_by_semgrep,flagged_by_sonar,cwe_historical_precision,message,ml_risk_score,ml_priority,file,line
BenchmarkTest00011,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5372346090670375,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00011.java,54
BenchmarkTest00012,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.5087973542492934,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00012.java,68
BenchmarkTest00013,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6606354491638398,P2 - High (ML Probable Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00013.java,56
BenchmarkTest00014,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6606354491638398,P2 - High (ML Probable Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00014.java,56
BenchmarkTest00015,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5683792859920807,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00015.java,64
BenchmarkTest00016,0,CWE-614,0,0,0,1.0,,0.10974908684119335,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00017,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5444416118463504,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00017.java,63
BenchmarkTest00018,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6161353418384643,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00018.java,57
BenchmarkTest00019,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.957153376753586,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,54
BenchmarkTest00020,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.984312041628401,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,61
BenchmarkTest00021,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.4485802845284838,P4 - Low (ML Suppressed / Likely False Alarm),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00021.java,58
BenchmarkTest00022,0,CWE-328,0,0,0,1.0,,0.25279536684003723,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00023,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,47
BenchmarkTest00024,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6161353418384643,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,52
BenchmarkTest00025,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6371570818030259,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,51
BenchmarkTest00026,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.63810138505586,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00026.java,49
BenchmarkTest00027,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6043967051102129,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,50
BenchmarkTest00028,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5349061735858125,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,57
BenchmarkTest00029,1,CWE-328,0,0,0,1.0,,0.25279536684003723,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00030,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6221848022643229,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00030.java,53
BenchmarkTest00031,1,CWE-501,1,1,0,0.7234,"Detected input from a HTTPServletRequest going into a session command, like `setAttribute`. User input into such a command could lead to an attacker inputting malicious code into your session parameters, blurring the line between what's trusted and untrusted, and therefore leading to a trust boundary violation. This could lead to programmers trusting unvalidated data. Instead, thoroughly sanitize user input before passing it into such function calls.",0.7313191620213231,P2 - High (ML Probable Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java,52
BenchmarkTest00032,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6371570818030259,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00032.java,54
BenchmarkTest00033,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6371570818030259,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00033.java,53
BenchmarkTest00034,1,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.5278626301234679,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,56
BenchmarkTest00035,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.9646666709532539,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,69
BenchmarkTest00036,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6221848022643229,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00036.java,65
BenchmarkTest00037,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6050253134234014,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java,66
BenchmarkTest00038,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6382802301796155,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00038.java,63
BenchmarkTest00039,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6393503814415632,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00039.java,64
BenchmarkTest00040,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5402428179282152,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00040.java,49
BenchmarkTest00041,1,CWE-79,0,0,0,0.6516,,0.2300172252494595,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00042,0,CWE-330,0,0,0,1.0,,0.037636823716155926,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00043,1,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.4901655263130386,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,54
BenchmarkTest00044,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.4485802845284838,P4 - Low (ML Suppressed / Likely False Alarm),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00044.java,59
BenchmarkTest00045,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5349061735858125,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00045.java,61
BenchmarkTest00046,1,CWE-328,2,1,1,1.0,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.,1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00046.java,50
BenchmarkTest00047,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6606354491638398,P2 - High (ML Probable Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00047.java,73
BenchmarkTest00048,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6447716715602264,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00048.java,72
BenchmarkTest00049,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6221848022643229,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00049.java,72
BenchmarkTest00050,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.9646666709532539,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,62
BenchmarkTest00051,0,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5114755110284748,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00051.java,60
BenchmarkTest00052,0,CWE-89,1,0,1,0.5746,Make sure using a dynamically formatted SQL query is safe here.,0.3049585907793266,P4 - Low (ML Suppressed / Likely False Alarm),owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00052.java,55
BenchmarkTest00053,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.957153376753586,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,89
BenchmarkTest00054,0,CWE-327,0,0,0,0.9046,,0.09462285501385369,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00055,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.9646666709532539,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,82
BenchmarkTest00056,1,CWE-327,1,1,1,0.9046,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.,0.984312041628401,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,92
BenchmarkTest00057,1,CWE-327,2,1,1,0.9046,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,0.9640713509849929,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java,84
BenchmarkTest00058,0,CWE-327,0,0,0,0.9046,,0.09852596288884,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00059,0,CWE-327,1,0,1,0.9046,Use a secure cipher mode.,0.14797288546515752,P4 - Low (ML Suppressed / Likely False Alarm),owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00059.java,84
BenchmarkTest00060,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5394645256012154,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java,75
BenchmarkTest00061,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5349061735858125,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java,75
BenchmarkTest00062,1,CWE-22,0,0,0,0.531,,0.18290078389950165,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00063,0,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5394645256012154,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java,78
BenchmarkTest00064,0,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5305215095490278,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java,79
BenchmarkTest00065,1,CWE-22,0,0,0,0.531,,0.18989096481216886,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00066,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java,73
BenchmarkTest00067,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",0.9995454545454545,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java,89
BenchmarkTest00068,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java,73
BenchmarkTest00069,0,CWE-328,0,0,0,1.0,,0.24087705674222445,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00070,1,CWE-328,2,1,1,1.0,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications.",0.9966744996793538,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00070.java,74
BenchmarkTest00071,1,CWE-328,2,1,1,1.0,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications.",0.9981800784924265,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00071.java,74
BenchmarkTest00072,0,CWE-328,0,0,0,1.0,,0.24087705674222445,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00073,1,CWE-328,2,1,1,1.0,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.,1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00073.java,88
BenchmarkTest00074,1,CWE-328,0,0,0,1.0,,0.23782332489730076,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00075,0,CWE-328,0,0,0,1.0,,0.26631103688868035,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00076,0,CWE-328,0,0,0,1.0,,0.231920865694142,P4 - Low (ML Suppressed / Likely False Alarm),,
BenchmarkTest00077,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5114755110284748,P3 - Medium (ML Moderate / Needs Review),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00077.java,97
BenchmarkTest00078,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",0.9995454545454545,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00078.java,75
BenchmarkTest00079,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",0.9995641025641026,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00079.java,73
BenchmarkTest00080,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00080.java,68
BenchmarkTest00081,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00081.java,68
BenchmarkTest00082,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00082.java,69
BenchmarkTest00083,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability),data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00083.java,73
