test_name,real_vulnerability,cwe,num_tools_agreeing,flagged_by_semgrep,flagged_by_sonar,cwe_historical_precision,message,ml_risk_score,ml_priority
BenchmarkTest00025,1,CWE-89,1,1,0,0.5746,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6281714366101186,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00026,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6411923512308969,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00027,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6013870000430575,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00028,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5300041467457454,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00029,1,CWE-328,0,0,0,1.0,,0.22444171124432277,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00030,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.620660943864709,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00031,1,CWE-501,1,1,0,0.7234,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.7078618281880859,P2 - High (ML Probable Vulnerability)
BenchmarkTest00032,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6369388599842778,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00033,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6369388599842778,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00034,1,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.5312748750495969,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00035,1,CWE-327,1,0,1,0.9046,Use a strong cipher algorithm.,0.746894127214667,P2 - High (ML Probable Vulnerability)
BenchmarkTest00036,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.620660943864709,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00037,1,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6052657034562158,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00038,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6299341752169263,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00039,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6325793924610322,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00040,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5446502000682291,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00041,1,CWE-79,0,0,0,0.6516,,0.2376126864028741,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00042,0,CWE-330,0,0,0,1.0,,0.054878713660365834,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00043,1,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.49671630473765704,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00044,1,CWE-90,1,1,0,0.4815,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data.",0.4729567405628093,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00045,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5300041467457454,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00046,1,CWE-328,2,1,1,1.0,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.,0.9963725018172893,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00047,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.658125282848209,P2 - High (ML Probable Vulnerability)
BenchmarkTest00048,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6447953001558595,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00049,1,CWE-79,1,1,0,0.6516,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.620660943864709,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00050,1,CWE-327,1,0,1,0.9046,Use another cipher mode or disable padding.,0.746894127214667,P2 - High (ML Probable Vulnerability)
BenchmarkTest00051,0,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5140518495956894,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00052,0,CWE-89,1,0,1,0.5746,Make sure using a dynamically formatted SQL query is safe here.,0.3461669168666841,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00053,1,CWE-327,1,0,1,0.9046,Use a strong cipher algorithm.,0.7651568594963934,P2 - High (ML Probable Vulnerability)
BenchmarkTest00054,0,CWE-327,0,0,0,0.9046,,0.08431073471868633,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00055,1,CWE-327,1,0,1,0.9046,Use a strong cipher algorithm.,0.746894127214667,P2 - High (ML Probable Vulnerability)
BenchmarkTest00056,1,CWE-327,1,0,1,0.9046,Use a strong cipher algorithm.,0.7448928852534946,P2 - High (ML Probable Vulnerability)
BenchmarkTest00057,1,CWE-327,2,1,1,0.9046,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.,0.9549847982426458,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00058,0,CWE-327,0,0,0,0.9046,,0.09176958896267884,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00059,0,CWE-327,1,0,1,0.9046,Use a secure cipher mode.,0.7615061478378989,P2 - High (ML Probable Vulnerability)
BenchmarkTest00060,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5323617688956359,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00061,1,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5300041467457454,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00062,1,CWE-22,0,0,0,0.531,,0.22112950407752943,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00063,0,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.5323617688956359,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00064,0,CWE-22,1,1,0,0.531,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path.",0.528523134306003,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00065,1,CWE-22,0,0,0,0.531,,0.24590279655141292,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00066,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00067,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00068,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00069,0,CWE-328,0,0,0,1.0,,0.21055491925120276,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00070,1,CWE-328,2,1,1,1.0,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications.",0.9969687847493788,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00071,1,CWE-328,2,1,1,1.0,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications.",0.9967183475989987,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00072,0,CWE-328,0,0,0,1.0,,0.21055491925120276,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00073,1,CWE-328,2,1,1,1.0,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.,0.9963725018172893,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00074,1,CWE-328,0,0,0,1.0,,0.20319054080011195,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00075,0,CWE-328,0,0,0,1.0,,0.2336827722158927,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00076,0,CWE-328,0,0,0,1.0,,0.2042594061680803,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00077,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5140518495956894,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00078,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00079,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00080,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00081,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00082,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00083,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00084,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00085,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00086,1,CWE-330,2,1,1,1.0,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead.",1.0,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00087,1,CWE-614,1,1,0,1.0,A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'cookie.setSecure(true);',0.9469332262689727,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00088,0,CWE-614,0,0,0,1.0,,0.10458381250387964,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00089,0,CWE-614,0,0,0,1.0,,0.10509525118902438,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00090,0,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.565387778500283,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00091,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5140518495956894,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00092,1,CWE-78,1,1,0,0.5177,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values.",0.5140518495956894,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00093,0,CWE-78,0,0,0,0.5177,,0.3069057838099165,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00094,0,CWE-330,0,0,0,1.0,,0.057764259022038515,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00095,0,CWE-330,0,0,0,1.0,,0.051215480072750806,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00096,0,CWE-330,0,0,0,1.0,,0.051215480072750806,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00097,0,CWE-501,1,1,0,0.7234,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views.",0.6941563292264352,P2 - High (ML Probable Vulnerability)
BenchmarkTest00098,1,CWE-501,1,1,0,0.7234,"Detected input from a HTTPServletRequest going into a session command, like `setAttribute`. User input into such a command could lead to an attacker inputting malicious code into your session parameters, blurring the line between what's trusted and untrusted, and therefore leading to a trust boundary violation. This could lead to programmers trusting unvalidated data. Instead, thoroughly sanitize user input before passing it into such function calls.",0.8592863088343478,P1 - Critical (ML High-Confidence Vulnerability)
BenchmarkTest00099,0,CWE-501,0,0,0,0.7234,,0.33363594360888704,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00100,1,CWE-89,1,0,1,0.5746,Make sure using a dynamically formatted SQL query is safe here.,0.27826349045176924,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00101,1,CWE-89,1,0,1,0.5746,Make sure using a dynamically formatted SQL query is safe here.,0.27826349045176924,P4 - Low (ML Suppressed / Likely False Alarm)
BenchmarkTest00102,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6299341752169263,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00103,1,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6352860383034056,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00104,0,CWE-89,1,1,0,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6352860383034056,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00105,0,CWE-89,2,1,1,0.5746,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.,0.6172031360784221,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00106,1,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.5312748750495969,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00107,0,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.549532047868988,P3 - Medium (ML Moderate / Needs Review)
BenchmarkTest00108,1,CWE-89,2,1,1,0.5746,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,0.5312748750495969,P3 - Medium (ML Moderate / Needs Review)
