test_name,cwe,real_vulnerability,flagged_by_semgrep,outcome
BenchmarkTest00074,328,True,False,false_negative
BenchmarkTest00075,328,False,False,true_negative
BenchmarkTest00076,328,False,False,true_negative
BenchmarkTest00077,78,True,True,true_positive
BenchmarkTest00078,330,True,True,true_positive
BenchmarkTest00079,330,True,True,true_positive
BenchmarkTest00080,330,True,True,true_positive
BenchmarkTest00081,330,True,True,true_positive
BenchmarkTest00082,330,True,True,true_positive
BenchmarkTest00083,330,True,True,true_positive
BenchmarkTest00084,330,True,True,true_positive
BenchmarkTest00085,330,True,True,true_positive
BenchmarkTest00086,330,True,True,true_positive
BenchmarkTest00087,614,True,True,true_positive
BenchmarkTest00088,614,False,False,true_negative
BenchmarkTest00089,614,False,False,true_negative
BenchmarkTest00090,78,False,True,false_positive
BenchmarkTest00091,78,True,True,true_positive
BenchmarkTest00092,78,True,True,true_positive
BenchmarkTest00093,78,False,False,true_negative
BenchmarkTest00094,330,False,False,true_negative
BenchmarkTest00095,330,False,False,true_negative
BenchmarkTest00096,330,False,False,true_negative
BenchmarkTest00097,501,False,True,false_positive
BenchmarkTest00098,501,True,True,true_positive
BenchmarkTest00099,501,False,False,true_negative
BenchmarkTest00100,89,True,False,false_negative
BenchmarkTest00101,89,True,False,false_negative
BenchmarkTest00102,89,True,True,true_positive
BenchmarkTest00103,89,True,True,true_positive
BenchmarkTest00104,89,False,True,false_positive
BenchmarkTest00105,89,False,True,false_positive
BenchmarkTest00106,89,True,True,true_positive
BenchmarkTest00107,89,False,True,false_positive
BenchmarkTest00108,89,True,True,true_positive
BenchmarkTest00109,89,True,True,true_positive
BenchmarkTest00110,89,False,True,false_positive
BenchmarkTest00111,89,True,True,true_positive
BenchmarkTest00112,89,True,True,true_positive
BenchmarkTest00113,89,False,True,false_positive
BenchmarkTest00114,89,False,True,false_positive
BenchmarkTest00115,89,True,True,true_positive
BenchmarkTest00116,643,False,False,true_negative
BenchmarkTest00117,643,False,True,false_positive
BenchmarkTest00118,643,False,True,false_positive
BenchmarkTest00119,327,True,True,true_positive
BenchmarkTest00120,327,True,True,true_positive
BenchmarkTest00121,327,False,False,true_negative
BenchmarkTest00122,327,False,False,true_negative
BenchmarkTest00123,327,True,True,true_positive
BenchmarkTest00124,327,True,True,true_positive
BenchmarkTest00125,327,True,True,true_positive
BenchmarkTest00126,327,False,False,true_negative
BenchmarkTest00127,327,False,False,true_negative
BenchmarkTest00128,327,False,False,true_negative
BenchmarkTest00129,327,False,False,true_negative
BenchmarkTest00130,327,False,False,true_negative
BenchmarkTest00131,22,False,True,false_positive
BenchmarkTest00132,22,False,True,false_positive
BenchmarkTest00133,22,True,True,true_positive
BenchmarkTest00134,22,False,False,true_negative
BenchmarkTest00135,22,False,True,false_positive
BenchmarkTest00136,22,False,True,false_positive
BenchmarkTest00137,22,False,False,true_negative
BenchmarkTest00138,90,False,True,false_positive
BenchmarkTest00139,90,False,False,true_negative
BenchmarkTest00140,330,True,True,true_positive
BenchmarkTest00141,328,True,True,true_positive
BenchmarkTest00142,328,False,False,true_negative
BenchmarkTest00143,328,True,False,false_negative
BenchmarkTest00144,79,True,False,false_negative
BenchmarkTest00145,79,True,False,false_negative
BenchmarkTest00146,79,True,True,true_positive
BenchmarkTest00147,79,False,False,true_negative
BenchmarkTest00148,79,True,True,true_positive
BenchmarkTest00149,79,True,True,true_positive
BenchmarkTest00150,79,True,True,true_positive
BenchmarkTest00151,79,False,False,true_negative
BenchmarkTest00152,79,True,True,true_positive
BenchmarkTest00153,79,True,False,false_negative
BenchmarkTest00154,79,True,True,true_positive
BenchmarkTest00155,79,True,True,true_positive
BenchmarkTest00156,79,True,False,false_negative
BenchmarkTest00157,79,True,True,true_positive
BenchmarkTest00158,78,False,True,false_positive
BenchmarkTest00159,78,True,True,true_positive
BenchmarkTest00160,330,True,True,true_positive
BenchmarkTest00161,330,True,True,true_positive
BenchmarkTest00162,330,True,True,true_positive
BenchmarkTest00163,330,True,True,true_positive
BenchmarkTest00164,330,True,True,true_positive
BenchmarkTest00165,330,True,True,true_positive
BenchmarkTest00166,330,True,True,true_positive
BenchmarkTest00167,330,True,True,true_positive
BenchmarkTest00168,330,True,True,true_positive
BenchmarkTest00169,614,True,True,true_positive
BenchmarkTest00170,614,True,True,true_positive
BenchmarkTest00171,78,False,False,true_negative
BenchmarkTest00172,78,True,False,false_negative
BenchmarkTest00173,78,True,False,false_negative
BenchmarkTest00174,78,True,True,true_positive
BenchmarkTest00175,78,False,False,true_negative
BenchmarkTest00176,78,True,True,true_positive
BenchmarkTest00177,78,False,True,false_positive
BenchmarkTest00178,330,False,False,true_negative
BenchmarkTest00179,330,False,False,true_negative
BenchmarkTest00180,330,False,False,true_negative
BenchmarkTest00181,330,False,False,true_negative
BenchmarkTest00182,330,False,False,true_negative
BenchmarkTest00183,330,False,False,true_negative
BenchmarkTest00184,330,False,False,true_negative
BenchmarkTest00185,330,False,False,true_negative
BenchmarkTest00186,330,False,False,true_negative
BenchmarkTest00187,330,False,False,true_negative
BenchmarkTest00188,330,False,False,true_negative
BenchmarkTest00189,501,False,False,true_negative
BenchmarkTest00190,89,False,False,true_negative
BenchmarkTest00191,89,False,True,false_positive
BenchmarkTest00192,89,True,True,true_positive
BenchmarkTest00193,89,True,True,true_positive
BenchmarkTest00194,89,True,True,true_positive
BenchmarkTest00195,89,True,True,true_positive
BenchmarkTest00196,89,True,True,true_positive
BenchmarkTest00197,89,False,False,true_negative
BenchmarkTest00198,89,True,True,true_positive
BenchmarkTest00199,89,True,True,true_positive
BenchmarkTest00200,89,False,False,true_negative
BenchmarkTest00201,89,False,False,true_negative
BenchmarkTest00202,89,False,True,false_positive
BenchmarkTest00203,89,True,True,true_positive
BenchmarkTest00204,89,True,True,true_positive
BenchmarkTest00205,89,False,True,false_positive
BenchmarkTest00206,89,False,True,false_positive
BenchmarkTest00207,643,True,True,true_positive
BenchmarkTest00208,327,True,True,true_positive
BenchmarkTest00209,327,False,False,true_negative
BenchmarkTest00210,327,True,True,true_positive
BenchmarkTest00211,327,False,False,true_negative
BenchmarkTest00212,327,False,False,true_negative
BenchmarkTest00213,327,False,False,true_negative
BenchmarkTest00214,327,False,False,true_negative
BenchmarkTest00215,22,True,True,true_positive
BenchmarkTest00216,22,True,True,true_positive
BenchmarkTest00217,22,False,False,true_negative
BenchmarkTest00218,22,True,True,true_positive
BenchmarkTest00219,22,True,True,true_positive
BenchmarkTest00220,22,False,False,true_negative
BenchmarkTest00221,22,False,True,false_positive
BenchmarkTest00222,22,True,True,true_positive
BenchmarkTest00223,328,True,True,true_positive
BenchmarkTest00224,328,False,False,true_negative
BenchmarkTest00225,328,False,False,true_negative
BenchmarkTest00226,328,True,False,false_negative
BenchmarkTest00227,328,True,False,false_negative
BenchmarkTest00228,328,False,False,true_negative
BenchmarkTest00229,328,False,False,true_negative
BenchmarkTest00230,330,True,True,true_positive
BenchmarkTest00231,330,True,True,true_positive
BenchmarkTest00232,330,True,True,true_positive
BenchmarkTest00233,330,True,True,true_positive
BenchmarkTest00234,330,True,True,true_positive
BenchmarkTest00235,330,True,True,true_positive
BenchmarkTest00236,330,True,True,true_positive
BenchmarkTest00237,330,True,True,true_positive
BenchmarkTest00238,330,True,True,true_positive
BenchmarkTest00239,330,True,True,true_positive
BenchmarkTest00240,330,True,True,true_positive
BenchmarkTest00241,614,True,True,true_positive
BenchmarkTest00242,614,False,False,true_negative
BenchmarkTest00243,330,False,False,true_negative
BenchmarkTest00244,330,False,False,true_negative
BenchmarkTest00245,330,False,False,true_negative
BenchmarkTest00246,330,False,False,true_negative
BenchmarkTest00247,330,False,False,true_negative
BenchmarkTest00248,330,False,False,true_negative
BenchmarkTest00249,330,False,False,true_negative
BenchmarkTest00250,501,False,True,false_positive
BenchmarkTest00251,501,True,True,true_positive
BenchmarkTest00252,501,False,False,true_negative
BenchmarkTest00253,501,False,True,false_positive
BenchmarkTest00254,327,True,True,true_positive
BenchmarkTest00255,327,False,False,true_negative
BenchmarkTest00256,327,True,True,true_positive
BenchmarkTest00257,327,True,True,true_positive
BenchmarkTest00258,327,True,True,true_positive
BenchmarkTest00259,327,False,False,true_negative
BenchmarkTest00260,327,False,False,true_negative
BenchmarkTest00261,22,False,False,true_negative
BenchmarkTest00262,22,True,True,true_positive
BenchmarkTest00263,22,False,True,false_positive
BenchmarkTest00264,22,True,True,true_positive
BenchmarkTest00265,22,False,False,true_negative
BenchmarkTest00266,328,True,True,true_positive
BenchmarkTest00267,328,True,True,true_positive
BenchmarkTest00268,328,True,True,true_positive
BenchmarkTest00269,328,True,True,true_positive
BenchmarkTest00270,328,False,False,true_negative
BenchmarkTest00271,328,False,False,true_negative
BenchmarkTest00272,328,True,True,true_positive
BenchmarkTest00273,328,True,False,false_negative
BenchmarkTest00274,328,True,False,false_negative
BenchmarkTest00275,79,False,False,true_negative
BenchmarkTest00276,79,True,True,true_positive
BenchmarkTest00277,79,False,False,true_negative
BenchmarkTest00278,79,False,False,true_negative
BenchmarkTest00279,79,True,False,false_negative
BenchmarkTest00280,79,True,True,true_positive
BenchmarkTest00281,79,False,True,false_positive
BenchmarkTest00282,79,False,False,true_negative
BenchmarkTest00283,79,False,False,true_negative
BenchmarkTest00284,79,True,True,true_positive
BenchmarkTest00285,79,False,False,true_negative
BenchmarkTest00286,79,False,False,true_negative
BenchmarkTest00287,79,True,True,true_positive
BenchmarkTest00288,79,False,False,true_negative
BenchmarkTest00289,79,False,False,true_negative
BenchmarkTest00290,79,True,True,true_positive
BenchmarkTest00291,79,True,True,true_positive
BenchmarkTest00292,79,True,True,true_positive
BenchmarkTest00293,78,True,True,true_positive
BenchmarkTest00294,78,True,True,true_positive
BenchmarkTest00295,78,True,True,true_positive
BenchmarkTest00296,330,True,True,true_positive
BenchmarkTest00297,330,True,True,true_positive
BenchmarkTest00298,330,True,True,true_positive
BenchmarkTest00299,330,True,True,true_positive
BenchmarkTest00300,614,True,True,true_positive
BenchmarkTest00301,79,True,False,false_negative
BenchmarkTest00302,78,True,True,true_positive
BenchmarkTest00303,78,True,True,true_positive
BenchmarkTest00304,78,True,False,false_negative
BenchmarkTest00305,78,False,False,true_negative
BenchmarkTest00306,78,True,True,true_positive
BenchmarkTest00307,78,False,False,true_negative
BenchmarkTest00308,78,False,True,false_positive
BenchmarkTest00309,78,False,False,true_negative
BenchmarkTest00310,78,False,True,false_positive
BenchmarkTest00311,78,True,True,true_positive
BenchmarkTest00312,330,False,False,true_negative
BenchmarkTest00313,330,False,False,true_negative
BenchmarkTest00314,330,False,False,true_negative
BenchmarkTest00315,330,False,False,true_negative
BenchmarkTest00316,330,False,False,true_negative
BenchmarkTest00317,330,False,False,true_negative
BenchmarkTest00318,330,False,False,true_negative
BenchmarkTest00319,330,False,False,true_negative
BenchmarkTest00320,330,False,False,true_negative
BenchmarkTest00321,501,True,False,false_negative
BenchmarkTest00322,501,False,False,true_negative
BenchmarkTest00323,501,False,True,false_positive
BenchmarkTest00324,501,True,True,true_positive
BenchmarkTest00325,501,True,True,true_positive
BenchmarkTest00326,501,True,True,true_positive
BenchmarkTest00327,501,True,True,true_positive
BenchmarkTest00328,89,True,True,true_positive
BenchmarkTest00329,89,False,True,false_positive
BenchmarkTest00330,89,False,False,true_negative
BenchmarkTest00331,89,False,False,true_negative
BenchmarkTest00332,89,False,False,true_negative
BenchmarkTest00333,89,False,True,false_positive
BenchmarkTest00334,89,False,False,true_negative
BenchmarkTest00335,89,True,True,true_positive
BenchmarkTest00336,89,False,True,false_positive
BenchmarkTest00337,89,True,False,false_negative
BenchmarkTest00338,89,False,True,false_positive
BenchmarkTest00339,89,True,True,true_positive
BenchmarkTest00340,89,False,True,false_positive
BenchmarkTest00341,89,True,True,true_positive
BenchmarkTest00342,89,True,True,true_positive
BenchmarkTest00343,89,False,True,false_positive
BenchmarkTest00344,89,False,True,false_positive
BenchmarkTest00345,327,False,False,true_negative
BenchmarkTest00346,328,True,True,true_positive
BenchmarkTest00347,330,True,True,true_positive
BenchmarkTest00348,614,True,True,true_positive
BenchmarkTest00349,330,False,False,true_negative
BenchmarkTest00350,327,False,False,true_negative
BenchmarkTest00351,327,False,False,true_negative
BenchmarkTest00352,327,False,False,true_negative
BenchmarkTest00353,327,False,False,true_negative
BenchmarkTest00354,327,True,True,true_positive
BenchmarkTest00355,327,True,True,true_positive
BenchmarkTest00356,327,True,True,true_positive
BenchmarkTest00357,327,False,False,true_negative
BenchmarkTest00358,327,False,False,true_negative
BenchmarkTest00359,22,True,True,true_positive
BenchmarkTest00360,22,True,True,true_positive
BenchmarkTest00361,22,False,True,false_positive
BenchmarkTest00362,22,True,True,true_positive
BenchmarkTest00363,22,True,True,true_positive
BenchmarkTest00364,22,False,False,true_negative
BenchmarkTest00365,22,False,False,true_negative
BenchmarkTest00366,22,False,False,true_negative
BenchmarkTest00367,90,False,False,true_negative
BenchmarkTest00368,330,True,True,true_positive
BenchmarkTest00369,330,True,True,true_positive
BenchmarkTest00370,328,False,False,true_negative
BenchmarkTest00371,328,True,True,true_positive
BenchmarkTest00372,328,True,True,true_positive
BenchmarkTest00373,328,False,False,true_negative
BenchmarkTest00374,328,True,False,false_negative
BenchmarkTest00375,79,True,True,true_positive
BenchmarkTest00376,79,True,True,true_positive
BenchmarkTest00377,79,False,False,true_negative
BenchmarkTest00378,79,True,True,true_positive
BenchmarkTest00379,79,False,False,true_negative
BenchmarkTest00380,79,True,True,true_positive
BenchmarkTest00381,79,False,False,true_negative
BenchmarkTest00382,79,True,False,false_negative
BenchmarkTest00383,79,True,False,false_negative
BenchmarkTest00384,79,True,True,true_positive
BenchmarkTest00385,79,True,False,false_negative
BenchmarkTest00386,79,False,False,true_negative
BenchmarkTest00387,79,True,True,true_positive
BenchmarkTest00388,79,True,True,true_positive
BenchmarkTest00389,79,False,False,true_negative
BenchmarkTest00390,79,True,True,true_positive
BenchmarkTest00391,79,False,False,true_negative
BenchmarkTest00392,79,True,True,true_positive
BenchmarkTest00393,79,False,True,false_positive
BenchmarkTest00394,79,False,False,true_negative
BenchmarkTest00395,79,True,True,true_positive
BenchmarkTest00396,78,False,True,false_positive
BenchmarkTest00397,330,True,True,true_positive
BenchmarkTest00398,330,True,True,true_positive
BenchmarkTest00399,330,True,True,true_positive
BenchmarkTest00400,330,True,True,true_positive
BenchmarkTest00401,330,True,True,true_positive
BenchmarkTest00402,330,True,True,true_positive
BenchmarkTest00403,614,True,True,true_positive
BenchmarkTest00404,614,False,False,true_negative
BenchmarkTest00405,614,False,False,true_negative
BenchmarkTest00406,78,False,True,false_positive
BenchmarkTest00407,78,True,False,false_negative
BenchmarkTest00408,78,False,True,false_positive
BenchmarkTest00409,78,True,True,true_positive
BenchmarkTest00410,78,False,False,true_negative
BenchmarkTest00411,78,False,False,true_negative
BenchmarkTest00412,78,False,False,true_negative
BenchmarkTest00413,330,False,False,true_negative
BenchmarkTest00414,330,False,False,true_negative
BenchmarkTest00415,330,False,False,true_negative
BenchmarkTest00416,330,False,False,true_negative
BenchmarkTest00417,330,False,False,true_negative
BenchmarkTest00418,330,False,False,true_negative
BenchmarkTest00419,330,False,False,true_negative
BenchmarkTest00420,330,False,False,true_negative
BenchmarkTest00421,330,False,False,true_negative
BenchmarkTest00422,330,False,False,true_negative
BenchmarkTest00423,330,False,False,true_negative
BenchmarkTest00424,501,True,True,true_positive
BenchmarkTest00425,501,True,True,true_positive
BenchmarkTest00426,501,True,True,true_positive
BenchmarkTest00427,501,True,False,false_negative
BenchmarkTest00428,89,True,False,false_negative
BenchmarkTest00429,89,True,True,true_positive
BenchmarkTest00430,89,False,True,false_positive
BenchmarkTest00431,89,True,True,true_positive
BenchmarkTest00432,89,False,False,true_negative
BenchmarkTest00433,89,True,True,true_positive
BenchmarkTest00434,89,True,True,true_positive
BenchmarkTest00435,89,True,True,true_positive
BenchmarkTest00436,89,False,True,false_positive
BenchmarkTest00437,89,False,True,false_positive
BenchmarkTest00438,89,True,True,true_positive
BenchmarkTest00439,89,True,True,true_positive
BenchmarkTest00440,89,False,True,false_positive
BenchmarkTest00441,89,True,True,true_positive
BenchmarkTest00442,643,True,True,true_positive
BenchmarkTest00443,327,False,False,true_negative
BenchmarkTest00444,327,False,False,true_negative
BenchmarkTest00445,327,True,True,true_positive
BenchmarkTest00446,327,True,True,true_positive
BenchmarkTest00447,327,False,False,true_negative
BenchmarkTest00448,327,True,True,true_positive
BenchmarkTest00449,327,True,True,true_positive
BenchmarkTest00450,327,False,False,true_negative
BenchmarkTest00451,327,False,False,true_negative
BenchmarkTest00452,22,True,True,true_positive
BenchmarkTest00453,22,True,True,true_positive
BenchmarkTest00454,22,False,True,false_positive
BenchmarkTest00455,22,True,True,true_positive
BenchmarkTest00456,22,True,False,false_negative
BenchmarkTest00457,22,True,False,false_negative
BenchmarkTest00458,22,False,True,false_positive
BenchmarkTest00459,22,True,True,true_positive
BenchmarkTest00460,22,False,False,true_negative
BenchmarkTest00461,330,True,True,true_positive
BenchmarkTest00462,328,True,True,true_positive
BenchmarkTest00463,328,False,False,true_negative
BenchmarkTest00464,328,True,True,true_positive
BenchmarkTest00465,328,True,True,true_positive
BenchmarkTest00466,328,False,False,true_negative
BenchmarkTest00467,79,True,False,false_negative
BenchmarkTest00468,79,False,False,true_negative
BenchmarkTest00469,79,False,True,false_positive
BenchmarkTest00470,79,False,False,true_negative
BenchmarkTest00471,79,False,False,true_negative
BenchmarkTest00472,79,True,True,true_positive
BenchmarkTest00473,79,True,True,true_positive
BenchmarkTest00474,79,False,False,true_negative
BenchmarkTest00475,79,True,True,true_positive
BenchmarkTest00476,79,False,True,false_positive
BenchmarkTest00477,79,True,True,true_positive
BenchmarkTest00478,79,True,True,true_positive
BenchmarkTest00479,79,False,False,true_negative
BenchmarkTest00480,78,True,True,true_positive
BenchmarkTest00481,78,False,True,false_positive
BenchmarkTest00482,330,True,True,true_positive
BenchmarkTest00483,330,True,True,true_positive
BenchmarkTest00484,330,True,True,true_positive
BenchmarkTest00485,330,True,True,true_positive
BenchmarkTest00486,330,True,True,true_positive
BenchmarkTest00487,330,True,True,true_positive
BenchmarkTest00488,330,True,True,true_positive
BenchmarkTest00489,330,True,True,true_positive
BenchmarkTest00490,330,True,True,true_positive
BenchmarkTest00491,614,True,True,true_positive
BenchmarkTest00492,79,True,True,true_positive
BenchmarkTest00493,79,False,False,true_negative
BenchmarkTest00494,78,False,False,true_negative
BenchmarkTest00495,78,True,False,false_negative
BenchmarkTest00496,78,True,True,true_positive
BenchmarkTest00497,78,True,True,true_positive
BenchmarkTest00498,78,True,True,true_positive
BenchmarkTest00499,78,True,True,true_positive
BenchmarkTest00500,78,True,True,true_positive
BenchmarkTest00501,330,False,False,true_negative
BenchmarkTest00502,330,False,False,true_negative
BenchmarkTest00503,330,False,False,true_negative
BenchmarkTest00504,330,False,False,true_negative
BenchmarkTest00505,330,False,False,true_negative
BenchmarkTest00506,330,False,False,true_negative
BenchmarkTest00507,330,False,False,true_negative
BenchmarkTest00508,501,True,True,true_positive
BenchmarkTest00509,89,False,False,true_negative
BenchmarkTest00510,89,True,True,true_positive
BenchmarkTest00511,89,False,False,true_negative
BenchmarkTest00512,89,True,True,true_positive
BenchmarkTest00513,89,False,True,false_positive
BenchmarkTest00514,89,False,True,false_positive
BenchmarkTest00515,89,True,True,true_positive
BenchmarkTest00516,89,True,True,true_positive
BenchmarkTest00517,89,False,True,false_positive
BenchmarkTest00518,89,True,True,true_positive
BenchmarkTest00519,89,False,True,false_positive
BenchmarkTest00520,643,False,True,false_positive
BenchmarkTest00521,327,True,True,true_positive
BenchmarkTest00522,327,True,True,true_positive
BenchmarkTest00523,327,False,False,true_negative
BenchmarkTest00524,327,False,False,true_negative
BenchmarkTest00525,22,True,False,false_negative
BenchmarkTest00526,22,True,True,true_positive
BenchmarkTest00527,22,True,True,true_positive
BenchmarkTest00528,22,True,False,false_negative
BenchmarkTest00529,22,True,True,true_positive
BenchmarkTest00530,90,False,True,false_positive
BenchmarkTest00531,328,True,True,true_positive
BenchmarkTest00532,328,True,True,true_positive
BenchmarkTest00533,328,True,True,true_positive
BenchmarkTest00534,328,True,True,true_positive
BenchmarkTest00535,328,False,False,true_negative
BenchmarkTest00536,328,True,True,true_positive
BenchmarkTest00537,328,True,True,true_positive
BenchmarkTest00538,328,False,False,true_negative
BenchmarkTest00539,328,False,False,true_negative
BenchmarkTest00540,328,False,False,true_negative
BenchmarkTest00541,79,True,True,true_positive
BenchmarkTest00542,79,True,True,true_positive
BenchmarkTest00543,79,True,False,false_negative
BenchmarkTest00544,79,False,False,true_negative
BenchmarkTest00545,79,False,False,true_negative
BenchmarkTest00546,79,False,False,true_negative
BenchmarkTest00547,79,True,True,true_positive
BenchmarkTest00548,79,False,False,true_negative
BenchmarkTest00549,79,True,True,true_positive
BenchmarkTest00550,79,False,False,true_negative
BenchmarkTest00551,79,True,True,true_positive
BenchmarkTest00552,79,True,False,false_negative
BenchmarkTest00553,79,False,True,false_positive
BenchmarkTest00554,79,True,True,true_positive
BenchmarkTest00555,79,True,True,true_positive
BenchmarkTest00556,79,False,True,false_positive
BenchmarkTest00557,79,True,True,true_positive
BenchmarkTest00558,78,False,True,false_positive
BenchmarkTest00559,78,False,True,false_positive
BenchmarkTest00560,330,True,True,true_positive
BenchmarkTest00561,330,True,True,true_positive
BenchmarkTest00562,330,True,True,true_positive
BenchmarkTest00563,330,True,True,true_positive
BenchmarkTest00564,330,True,True,true_positive
BenchmarkTest00565,614,True,True,true_positive
BenchmarkTest00566,614,True,True,true_positive
BenchmarkTest00567,78,True,True,true_positive
BenchmarkTest00568,78,True,True,true_positive
BenchmarkTest00569,78,False,False,true_negative
BenchmarkTest00570,78,False,False,true_negative
BenchmarkTest00571,78,False,True,false_positive
BenchmarkTest00572,78,False,True,false_positive
BenchmarkTest00573,78,True,True,true_positive
BenchmarkTest00574,78,True,True,true_positive
BenchmarkTest00575,78,True,False,false_negative
BenchmarkTest00576,78,True,True,true_positive
BenchmarkTest00577,330,False,False,true_negative
BenchmarkTest00578,330,False,False,true_negative
BenchmarkTest00579,330,False,False,true_negative
BenchmarkTest00580,330,False,False,true_negative
BenchmarkTest00581,330,False,False,true_negative
BenchmarkTest00582,330,False,False,true_negative
BenchmarkTest00583,330,False,False,true_negative
BenchmarkTest00584,330,False,False,true_negative
BenchmarkTest00585,330,False,False,true_negative
BenchmarkTest00586,501,False,False,true_negative
BenchmarkTest00587,501,True,False,false_negative
BenchmarkTest00588,501,True,True,true_positive
BenchmarkTest00589,89,False,False,true_negative
BenchmarkTest00590,89,True,True,true_positive
BenchmarkTest00591,89,True,True,true_positive
BenchmarkTest00592,89,False,False,true_negative
BenchmarkTest00593,89,True,True,true_positive
BenchmarkTest00594,89,True,False,false_negative
BenchmarkTest00595,89,True,True,true_positive
BenchmarkTest00596,89,True,False,false_negative
BenchmarkTest00597,89,True,True,true_positive
BenchmarkTest00598,89,True,True,true_positive
BenchmarkTest00599,89,False,False,true_negative
BenchmarkTest00600,89,True,True,true_positive
BenchmarkTest00601,89,False,True,false_positive
BenchmarkTest00602,89,False,True,false_positive
BenchmarkTest00603,89,True,True,true_positive
BenchmarkTest00604,89,True,True,true_positive
BenchmarkTest00605,89,False,True,false_positive
BenchmarkTest00606,89,True,True,true_positive
BenchmarkTest00607,643,True,True,true_positive
BenchmarkTest00608,327,True,True,true_positive
BenchmarkTest00609,327,True,True,true_positive
BenchmarkTest00610,327,True,True,true_positive
BenchmarkTest00611,327,True,True,true_positive
BenchmarkTest00612,327,False,False,true_negative
BenchmarkTest00613,327,False,False,true_negative
BenchmarkTest00614,327,True,True,true_positive
BenchmarkTest00615,327,True,True,true_positive
BenchmarkTest00616,327,True,True,true_positive
BenchmarkTest00617,327,True,True,true_positive
BenchmarkTest00618,327,False,False,true_negative
BenchmarkTest00619,22,True,False,false_negative
BenchmarkTest00620,22,False,False,true_negative
BenchmarkTest00621,22,False,False,true_negative
BenchmarkTest00622,22,False,True,false_positive
BenchmarkTest00623,22,True,True,true_positive
BenchmarkTest00624,22,True,True,true_positive
BenchmarkTest00625,22,False,True,false_positive
BenchmarkTest00626,22,False,False,true_negative
BenchmarkTest00627,22,True,True,true_positive
BenchmarkTest00628,22,False,False,true_negative
BenchmarkTest00629,22,True,False,false_negative
BenchmarkTest00630,90,True,True,true_positive
BenchmarkTest00631,328,True,True,true_positive
BenchmarkTest00632,328,False,False,true_negative
BenchmarkTest00633,328,False,False,true_negative
