test_name,cwe,file,line,tools_involved,num_tools_agreeing,confidence,severities,sample_message
BenchmarkTest00019,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,51,sonarqube,1,high (same CWE),CRITICAL,Use a secure cipher mode.
BenchmarkTest00020,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,61,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
BenchmarkTest00020,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,59,sonarqube,1,high (same CWE),CRITICAL,Use a strong cipher algorithm.
BenchmarkTest00021,CWE-90,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00021.java,58,semgrep,1,single-tool,warning,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data."
BenchmarkTest00023,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00023.java,47,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00024,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00024.java,52,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00025,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,51,semgrep,1,single-tool,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00025,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00025.java,54,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00026,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00026.java,49,semgrep,1,single-tool,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00027,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00027.java,50,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00028,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,57,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00028,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00028.java,70,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00030,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00030.java,53,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00031,CWE-501,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java,52,semgrep,1,single-tool,warning,"Detected input from a HTTPServletRequest going into a session command, like `setAttribute`. User input into such a command could lead to an attacker inputting malicious code into your session parameters, blurring the line between what's trusted and untrusted, and therefore leading to a trust boundary violation. This could lead to programmers trusting unvalidated data. Instead, thoroughly sanitize user input before passing it into such function calls."
BenchmarkTest00031,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00031.java,54,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00032,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00032.java,54,semgrep,1,single-tool,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00033,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00033.java,53,semgrep,1,single-tool,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00034,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00034.java,56,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
BenchmarkTest00035,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,69,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
BenchmarkTest00035,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,66,sonarqube,1,high (same CWE),CRITICAL,Use a strong cipher algorithm.
BenchmarkTest00036,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00036.java,65,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00037,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00037.java,66,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00038,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00038.java,63,semgrep,1,single-tool,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00039,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00039.java,64,semgrep,1,single-tool,warning,Detected input from a HTTPServletRequest going into a SQL sink or statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use parameterized SQL queries or properly sanitize user input instead.
BenchmarkTest00040,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00040.java,49,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00043,CWE-89,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00043.java,54,semgrep;sonarqube,2,high (same CWE),MAJOR;warning,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.
BenchmarkTest00044,CWE-90,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00044.java,59,semgrep,1,single-tool,warning,"Detected input from a HTTPServletRequest going into an LDAP query. This could lead to LDAP injection if the input is not properly sanitized, which could result in attackers modifying objects in the LDAP tree structure. Ensure data passed to an LDAP query is not controllable or properly sanitize the data."
BenchmarkTest00045,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00045.java,61,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00046,CWE-328,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00046.java,50,semgrep;sonarqube,2,"medium (same line, different CWE label)",CRITICAL;warning,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.
BenchmarkTest00047,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00047.java,73,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00048,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00048.java,72,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00049,CWE-79,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00049.java,72,semgrep,1,single-tool,warning,"Detected a request with potential user-input going into a OutputStream or Writer object. This bypasses any view or template environments, including HTML escaping, which may expose this application to cross-site scripting (XSS) vulnerabilities. Consider using a view technology such as JavaServer Faces (JSFs) which automatically escapes HTML views."
BenchmarkTest00050,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,62,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
BenchmarkTest00050,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,60,sonarqube,1,high (same CWE),CRITICAL,Use another cipher mode or disable padding.
BenchmarkTest00051,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00051.java,60,semgrep,1,high (same CWE),error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00053,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,89,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
BenchmarkTest00053,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00053.java,86,sonarqube,1,high (same CWE),CRITICAL,Use a strong cipher algorithm.
BenchmarkTest00055,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,82,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
BenchmarkTest00055,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00055.java,80,sonarqube,1,high (same CWE),CRITICAL,Use a strong cipher algorithm.
BenchmarkTest00056,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,92,semgrep,1,high (same CWE),warning,Triple DES (3DES or DESede) is considered deprecated. AES is the recommended cipher. Upgrade to use AES.
BenchmarkTest00056,CWE-327,owasp-benchmark:data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00056.java,90,sonarqube,1,high (same CWE),CRITICAL,Use a strong cipher algorithm.
BenchmarkTest00057,CWE-326,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00057.java,84,semgrep;sonarqube,2,"medium (same line, different CWE label)",CRITICAL;warning,DES is considered deprecated. AES is the recommended cipher. Upgrade to use AES. See https://www.nist.gov/news-events/news/2005/06/nist-withdraws-outdated-data-encryption-standard for more information.
BenchmarkTest00060,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00060.java,75,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00061,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00061.java,75,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00063,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00063.java,78,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00064,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java,79,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00064,CWE-22,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00064.java,92,semgrep,1,single-tool,error,"Detected a potential path traversal. A malicious actor could control the location of this file, to include going backwards in the directory with '../'. To address this, ensure that user-controlled variables in file paths are sanitized. You may also consider using a utility method such as org.apache.commons.io.FilenameUtils.getName(...) to only retrieve the file name from the path."
BenchmarkTest00066,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00066.java,73,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00067,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00067.java,89,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00068,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00068.java,73,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00070,CWE-328,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00070.java,74,semgrep;sonarqube,2,"medium (same line, different CWE label)",CRITICAL;warning,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications."
BenchmarkTest00071,CWE-328,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00071.java,74,semgrep;sonarqube,2,"medium (same line, different CWE label)",CRITICAL;warning,"Detected SHA1 hash algorithm which is considered insecure. SHA1 is not collision resistant and is therefore not suitable as a cryptographic signature. Instead, use PBKDF2 for password hashing or SHA256 or SHA512 for other hash function applications."
BenchmarkTest00073,CWE-328,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00073.java,88,semgrep;sonarqube,2,"medium (same line, different CWE label)",CRITICAL;warning,Detected MD5 hash algorithm which is considered insecure. MD5 is not collision resistant and is therefore not suitable as a cryptographic signature. Use HMAC instead.
BenchmarkTest00077,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00077.java,97,semgrep,1,high (same CWE),error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00078,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00078.java,75,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00079,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00079.java,73,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00080,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00080.java,68,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00081,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00081.java,68,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00082,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00082.java,69,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00083,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00083.java,73,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00084,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00084.java,70,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00085,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00085.java,73,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00086,CWE-330,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00086.java,73,semgrep;sonarqube,2,"medium (same line, different CWE label)",MAJOR;warning,"Detected use of the functions `Math.random()` or `java.util.Random()`. These are both not cryptographically strong random number generators (RNGs). If you are using these RNGs to create passwords or secret tokens, use `java.security.SecureRandom` instead."
BenchmarkTest00087,CWE-614,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00087.java,92,semgrep,1,single-tool,warning,A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'cookie.setSecure(true);'
BenchmarkTest00090,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00090.java,82,semgrep,1,single-tool,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
BenchmarkTest00091,CWE-78,data/benchmark/src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00091.java,77,semgrep,1,single-tool,error,"Detected input from a HTTPServletRequest going into a 'ProcessBuilder' or 'exec' command. This could lead to command injection if variables passed into the exec commands are not properly sanitized. Instead, avoid using these OS commands with user-supplied input, or, if you must use these commands, use a whitelist of specific values."
